Product Card Id,Product Name,Category Name,Department Name
1360,Smart watch ,Sporting Goods,Fitness
365,Perfect Fitness Perfect Rip Deck,Cleats,Apparel
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf
502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf
278,Under Armour Men's Compression EV SL Slide,Electronics,Footwear
249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors
828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Outdoors
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf
818,Titleist Pro V1x Golf Balls,Electronics,Outdoors
825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors
977,ENO Atlas Hammock Straps,Hunting & Shooting,Fan Shop
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness
251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear
403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel
957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop
1352,Industrial consumer electronics,Consumer Electronics,Technology
1349,Web Camera,Cameras ,Technology
1351,Dell Laptop,Computers,Technology
60,SOLE E25 Elliptical,Basketball,Fitness
24,Elevation Training Mask 2.0,Soccer,Fitness
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf
893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors
924,Glove It Urban Brick Golf Towel,Trade-In,Outdoors
905,Team Golf Texas Longhorns Putter Grip,Accessories,Outdoors
564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf
885,Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors
1363,Summer dresses,Women's Clothing,Apparel
1353,Porcelain crafts,Crafts,Apparel
1357,Men's gala suit,Men's Clothing,Apparel
906,Team Golf Tennessee Volunteers Putter Grip,Accessories,Outdoors
886,Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors
926,Glove It Imperial Golf Towel,Trade-In,Outdoors
116,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness
235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Footwear
273,Under Armour Kids' Mercenary Slide,Electronics,Footwear
282,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear
359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Footwear
565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Golf
572,TYR Boys' Team Digi Jammer,Girls' Apparel,Golf
804,Glove It Women's Imperial Golf Glove,Golf Balls,Outdoors
822,Titleist Pro V1x High Numbers Golf Balls,Electronics,Outdoors
835,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors
276,Under Armour Women's Ignite Slide,Electronics,Footwear
823,Titleist Pro V1x High Numbers Personalized Go,Electronics,Outdoors
203,GoPro HERO3+ Black Edition Camera,Strength Training,Footwear
364,Total Gym 1400,Cleats,Apparel
1350,Children's heaters,Children's Clothing,Apparel
