Product Card Id,Product Name,Department Name,Plant_ID
1360,Smart watch ,Fitness,P2
365,Perfect Fitness Perfect Rip Deck,Apparel,P1
627,Under Armour Girls' Toddler Spine Surge Runni,Golf,P2
502,Nike Men's Dri-FIT Victory Golf Polo,Golf,P2
278,Under Armour Men's Compression EV SL Slide,Footwear,P1
249,Under Armour Women's Micro G Skulpt Running S,Footwear,P1
191,Nike Men's Free 5.0+ Running Shoe,Footwear,P1
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Outdoors,P2
828,Bridgestone e6 Straight Distance NFL San Dieg,Outdoors,P2
642,Columbia Men's PFG Anchor Tough T-Shirt,Golf,P2
818,Titleist Pro V1x Golf Balls,Outdoors,P2
825,Bridgestone e6 Straight Distance NFL Tennesse,Outdoors,P2
306,Polar FT4 Heart Rate Monitor,Outdoors,P2
977,ENO Atlas Hammock Straps,Fan Shop,P3
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Fitness,P2
251,Brooks Women's Ghost 6 Running Shoe,Footwear,P1
403,Nike Men's CJ Elite 2 TD Football Cleat,Apparel,P1
957,Diamondback Women's Serene Classic Comfort Bi,Fan Shop,P3
1352,Industrial consumer electronics,Technology,P3
1349,Web Camera,Technology,P3
1351,Dell Laptop,Technology,P3
60,SOLE E25 Elliptical,Fitness,P2
24,Elevation Training Mask 2.0,Fitness,P2
567,adidas Men's Germany Black Crest Away Tee,Golf,P2
893,Team Golf Pittsburgh Steelers Putter Grip,Outdoors,P2
924,Glove It Urban Brick Golf Towel,Outdoors,P2
905,Team Golf Texas Longhorns Putter Grip,Outdoors,P2
564,Nike Men's Deutschland Weltmeister Winners Bl,Golf,P2
885,Team Golf St. Louis Cardinals Putter Grip,Outdoors,P2
1363,Summer dresses,Apparel,P1
1353,Porcelain crafts,Apparel,P1
1357,Men's gala suit,Apparel,P1
906,Team Golf Tennessee Volunteers Putter Grip,Outdoors,P2
886,Team Golf San Francisco Giants Putter Grip,Outdoors,P2
926,Glove It Imperial Golf Towel,Outdoors,P2
116,Nike Men's Comfort 2 Slide,Fitness,P2
235,Under Armour Hustle Storm Medium Duffle Bag,Footwear,P1
273,Under Armour Kids' Mercenary Slide,Footwear,P1
282,Under Armour Women's Ignite PIP VI Slide,Footwear,P1
359,Nike Men's Free TR 5.0 TB Training Shoe,Footwear,P1
565,adidas Youth Germany Black/Red Away Match Soc,Golf,P2
572,TYR Boys' Team Digi Jammer,Golf,P2
