Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Beginning_Inventory,Weekly_Capacity,Baseline_Available_Capacity,ABC_Class,Planning_Priority,Planning_Key,Scenario,Scenario_Demand,Scenario_Capacity,Net_Demand,Allocated_Qty,Backlog,Remaining_Capacity,Allocation_Order,Allocation_Strategy,Allocation_Reason
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-01,227,1626.0,1165,263,A,3,P1|191|2017-01-01,Baseline,227.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-01-01,480,3267.0,1165,263,A,3,P1|365|2017-01-01,Baseline,480.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-01-01,0,33.0,1165,263,B,2,P1|276|2017-01-01,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-01-01,173,658.0,1165,263,B,2,P1|403|2017-01-01,Baseline,173.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-01-01,7,0.0,1165,263,C,1,P1|273|2017-01-01,Baseline,7.0,1165,7.0,7.0,0.0,1158.0,5,Priority First,Demand Fully Satisfied
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-01-01,4,0.0,1165,263,C,1,P1|249|2017-01-01,Baseline,4.0,1165,4.0,4.0,0.0,1154.0,6,Priority First,Demand Fully Satisfied
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-01-01,3,0.0,1165,263,C,1,P1|282|2017-01-01,Baseline,3.0,1165,3.0,3.0,0.0,1151.0,7,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-01-01,2,22.0,1165,263,C,1,P1|172|2017-01-01,Baseline,2.0,1165,0.0,0.0,0.0,1151.0,8,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-01-01,2,21.0,1165,263,C,1,P1|235|2017-01-01,Baseline,2.0,1165,0.0,0.0,0.0,1151.0,9,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-01-01,4,20.0,1165,263,C,1,P1|278|2017-01-01,Baseline,4.0,1165,0.0,0.0,0.0,1151.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-08,296,1399.0,1165,150,A,3,P1|191|2017-01-08,Baseline,296.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-01-08,495,2787.0,1165,150,A,3,P1|365|2017-01-08,Baseline,495.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-01-08,3,33.0,1165,150,B,2,P1|276|2017-01-08,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-01-08,172,485.0,1165,150,B,2,P1|403|2017-01-08,Baseline,172.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-01-08,15,20.0,1165,150,C,1,P1|172|2017-01-08,Baseline,15.0,1165,0.0,0.0,0.0,1165.0,5,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-01-08,8,19.0,1165,150,C,1,P1|235|2017-01-08,Baseline,8.0,1165,0.0,0.0,0.0,1165.0,6,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-01-08,3,21.0,1165,150,C,1,P1|249|2017-01-08,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-01-08,10,20.0,1165,150,C,1,P1|273|2017-01-08,Baseline,10.0,1165,0.0,0.0,0.0,1165.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-01-08,7,16.0,1165,150,C,1,P1|278|2017-01-08,Baseline,7.0,1165,0.0,0.0,0.0,1165.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-01-08,6,21.0,1165,150,C,1,P1|282|2017-01-08,Baseline,6.0,1165,0.0,0.0,0.0,1165.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-15,241,1103.0,1165,223,A,3,P1|191|2017-01-15,Baseline,241.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-01-15,506,2292.0,1165,223,A,3,P1|365|2017-01-15,Baseline,506.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-01-15,3,30.0,1165,223,B,2,P1|276|2017-01-15,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-01-15,141,313.0,1165,223,B,2,P1|403|2017-01-15,Baseline,141.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-01-15,12,5.0,1165,223,C,1,P1|172|2017-01-15,Baseline,12.0,1165,7.0,7.0,0.0,1158.0,5,Priority First,Demand Fully Satisfied
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-01-15,22,18.0,1165,223,C,1,P1|249|2017-01-15,Baseline,22.0,1165,4.0,4.0,0.0,1154.0,6,Priority First,Demand Fully Satisfied
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-01-15,7,11.0,1165,223,C,1,P1|235|2017-01-15,Baseline,7.0,1165,0.0,0.0,0.0,1154.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-01-15,5,10.0,1165,223,C,1,P1|273|2017-01-15,Baseline,5.0,1165,0.0,0.0,0.0,1154.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-01-15,0,9.0,1165,223,C,1,P1|278|2017-01-15,Baseline,0.0,1165,0.0,0.0,0.0,1154.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-01-15,5,15.0,1165,223,C,1,P1|282|2017-01-15,Baseline,5.0,1165,0.0,0.0,0.0,1154.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-22,301,862.0,1165,96,A,3,P1|191|2017-01-22,Baseline,301.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-01-22,585,1786.0,1165,96,A,3,P1|365|2017-01-22,Baseline,585.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-01-22,3,27.0,1165,96,B,2,P1|276|2017-01-22,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-01-22,141,172.0,1165,96,B,2,P1|403|2017-01-22,Baseline,141.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-01-22,11,0.0,1165,96,C,1,P1|249|2017-01-22,Baseline,11.0,1165,11.0,11.0,0.0,1154.0,5,Priority First,Demand Fully Satisfied
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-01-22,14,4.0,1165,96,C,1,P1|235|2017-01-22,Baseline,14.0,1165,10.0,10.0,0.0,1144.0,6,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-01-22,4,0.0,1165,96,C,1,P1|172|2017-01-22,Baseline,4.0,1165,4.0,4.0,0.0,1140.0,7,Priority First,Demand Fully Satisfied
P1,273,Under Armour Kids' Mercenary Slide,2017-01-22,3,5.0,1165,96,C,1,P1|273|2017-01-22,Baseline,3.0,1165,0.0,0.0,0.0,1140.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-01-22,7,9.0,1165,96,C,1,P1|278|2017-01-22,Baseline,7.0,1165,0.0,0.0,0.0,1140.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-01-22,0,10.0,1165,96,C,1,P1|282|2017-01-22,Baseline,0.0,1165,0.0,0.0,0.0,1140.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-29,269,1626.0,1165,225,A,3,P1|191|2017-01-29,Baseline,269.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-01-29,489,3267.0,1165,225,A,3,P1|365|2017-01-29,Baseline,489.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-01-29,0,33.0,1165,225,B,2,P1|276|2017-01-29,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-01-29,150,658.0,1165,225,B,2,P1|403|2017-01-29,Baseline,150.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-01-29,6,2.0,1165,225,C,1,P1|273|2017-01-29,Baseline,6.0,1165,4.0,4.0,0.0,1161.0,5,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-01-29,9,22.0,1165,225,C,1,P1|172|2017-01-29,Baseline,9.0,1165,0.0,0.0,0.0,1161.0,6,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-01-29,0,21.0,1165,225,C,1,P1|235|2017-01-29,Baseline,0.0,1165,0.0,0.0,0.0,1161.0,7,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-01-29,0,0.0,1165,225,C,1,P1|249|2017-01-29,Baseline,0.0,1165,0.0,0.0,0.0,1161.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-01-29,8,20.0,1165,225,C,1,P1|278|2017-01-29,Baseline,8.0,1165,0.0,0.0,0.0,1161.0,9,Priority First,No Production Required
