Plant_ID,Product Card Id,Product Name,Order_Date,Inventory_On_Hand,DOI,Inventory_Status,Inventory_Alert,Inventory_Utilization
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-04-30,46.0,100.625,Normal,0,4.6
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-07,43.0,94.0625,Normal,0,4.3
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-14,42.0,91.875,Normal,0,4.2
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-21,39.0,85.31249999999999,Normal,0,3.9
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-28,33.0,72.1875,Normal,0,3.3
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-04,30.0,65.625,Normal,0,3.0
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-11,28.0,61.24999999999999,Normal,0,2.8
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-18,26.0,56.87499999999999,Normal,0,2.6
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-25,24.0,52.49999999999999,Normal,0,2.4
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-02,17.0,37.1875,Normal,0,1.7
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-09,15.0,32.8125,Normal,0,1.5
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-16,12.0,26.25,Normal,0,1.2
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-23,8.0,17.5,Warning,0,0.8
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-30,5.0,10.937499999999998,Warning,0,0.5
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-06,3.0,6.562499999999999,Critical,1,0.3
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-13,2.0,4.375,Critical,1,0.2
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-20,4.0,8.75,Warning,0,0.4
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-27,0.0,0.0,Critical,1,0.0
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-03,0.0,0.0,Critical,1,0.0
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-10,0.0,0.0,Critical,1,0.0
P2,24,Elevation Training Mask 2.0,2017-04-23,161.0,102.45454545454544,Normal,0,4.878787878787879
P2,24,Elevation Training Mask 2.0,2017-04-30,153.0,97.36363636363636,Normal,0,4.636363636363637
P2,24,Elevation Training Mask 2.0,2017-05-07,131.0,83.36363636363636,Normal,0,3.9696969696969697
