Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Demand_Rank,Demand_Contribution,Demand_Change,Demand_Growth
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-04,306,1.0,0.5396825396825397,,
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-04,160,2.0,0.2821869488536155,,
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-04,77,3.0,0.1358024691358024,,
P1,276,Under Armour Women's Ignite Slide,2015-01-04,10,4.0,0.0176366843033509,,
P1,172,Nike Women's Tempo Shorts,2015-01-04,6,5.0,0.0105820105820105,,
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-04,4,6.0,0.0070546737213403,,
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-04,4,6.0,0.0070546737213403,,
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-11,529,1.0,0.5459236326109391,223.0,0.7287581699346405
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-11,243,2.0,0.2507739938080495,83.0,0.51875
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-11,147,3.0,0.1517027863777089,70.0,0.9090909090909092
P1,172,Nike Women's Tempo Shorts,2015-01-11,11,4.0,0.0113519091847265,5.0,0.8333333333333334
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-11,9,5.0,0.0092879256965944,,
P1,276,Under Armour Women's Ignite Slide,2015-01-11,8,6.0,0.0082559339525283,-2.0,-0.2
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-11,7,7.0,0.0072239422084623,,
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-11,7,7.0,0.0072239422084623,3.0,0.75
P1,273,Under Armour Kids' Mercenary Slide,2015-01-11,6,8.0,0.0061919504643962,,
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-11,2,9.0,0.002063983488132,-2.0,-0.5
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-18,560,1.0,0.5668016194331984,31.0,0.0586011342155009
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-18,244,2.0,0.2469635627530364,1.0,0.0041152263374485
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-18,140,3.0,0.1417004048582996,-7.0,-0.0476190476190476
P1,172,Nike Women's Tempo Shorts,2015-01-18,11,4.0,0.0111336032388663,0.0,0.0
P1,276,Under Armour Women's Ignite Slide,2015-01-18,9,5.0,0.0091093117408906,1.0,0.125
P1,273,Under Armour Kids' Mercenary Slide,2015-01-18,6,6.0,0.0060728744939271,0.0,0.0
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-18,6,6.0,0.0060728744939271,-1.0,-0.1428571428571428
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-18,5,7.0,0.0050607287449392,-4.0,-0.4444444444444444
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-18,4,8.0,0.0040485829959514,-3.0,-0.4285714285714285
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-18,3,9.0,0.0030364372469635,1.0,0.5
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-25,547,1.0,0.5421209117938554,-13.0,-0.0232142857142857
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-25,256,2.0,0.2537165510406343,12.0,0.0491803278688524
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-25,128,3.0,0.1268582755203171,-12.0,-0.0857142857142857
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-25,21,4.0,0.020812685827552,18.0,6.0
P1,172,Nike Women's Tempo Shorts,2015-01-25,18,5.0,0.0178394449950445,7.0,0.6363636363636364
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-25,16,6.0,0.0158572844400396,11.0,2.2
P1,273,Under Armour Kids' Mercenary Slide,2015-01-25,8,7.0,0.0079286422200198,2.0,0.3333333333333333
P1,276,Under Armour Women's Ignite Slide,2015-01-25,7,8.0,0.0069375619425173,-2.0,-0.2222222222222222
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-25,4,9.0,0.0039643211100099,0.0,0.0
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-25,4,9.0,0.0039643211100099,-2.0,-0.3333333333333333
P1,365,Perfect Fitness Perfect Rip Deck,2015-02-01,522,1.0,0.5420560747663551,-25.0,-0.0457038391224862
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-02-01,247,2.0,0.2564901349948079,-9.0,-0.03515625
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-01,148,3.0,0.1536863966770509,20.0,0.15625
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-02-01,9,4.0,0.0093457943925233,-12.0,-0.5714285714285714
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-02-01,9,4.0,0.0093457943925233,5.0,1.25
P1,278,Under Armour Men's Compression EV SL Slide,2015-02-01,8,5.0,0.0083073727933541,4.0,1.0
P1,276,Under Armour Women's Ignite Slide,2015-02-01,7,6.0,0.0072689511941848,0.0,0.0
P1,273,Under Armour Kids' Mercenary Slide,2015-02-01,5,7.0,0.0051921079958463,-3.0,-0.375
P1,172,Nike Women's Tempo Shorts,2015-02-01,4,8.0,0.004153686396677,-14.0,-0.7777777777777778
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-02-01,4,8.0,0.004153686396677,-12.0,-0.75
