Plant_ID,Product Card Id,Product Name,Order_Date,Service_Risk,Service_Risk_Score,Service_Alert,Risk_Driver
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-04-30,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-07,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-14,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-21,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-28,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-04,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-11,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-18,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-25,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-02,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-09,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-16,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-23,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-30,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-06,Medium,2,0,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-13,Medium,2,0,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-20,Low,1,0,
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-27,Medium,2,0,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-03,Medium,2,0,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-10,Medium,2,0,Inventory
P2,24,Elevation Training Mask 2.0,2017-04-23,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-04-30,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-05-07,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-05-14,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-05-21,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-05-28,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-06-04,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-06-11,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-06-18,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-06-25,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-07-02,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-07-09,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-07-16,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-07-23,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-07-30,Medium,2,0,Inventory
P2,24,Elevation Training Mask 2.0,2017-08-06,Medium,2,0,Inventory
P2,24,Elevation Training Mask 2.0,2017-08-13,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-08-20,Low,1,0,
P2,24,Elevation Training Mask 2.0,2017-08-27,Medium,2,0,Inventory
P2,24,Elevation Training Mask 2.0,2017-09-03,Medium,2,0,Inventory
P2,24,Elevation Training Mask 2.0,2017-09-10,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-04-30,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-07,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-14,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-21,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-28,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-04,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-11,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-18,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-06-25,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-07-02,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-07-09,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-07-16,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-07-23,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-07-30,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-08-06,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-08-13,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-08-20,Low,1,0,
P2,35,adidas Brazuca 2014 Official Match Ball,2017-08-27,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-09-03,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-09-10,Medium,2,0,Inventory
P2,35,adidas Brazuca 2014 Official Match Ball,2017-09-17,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-01-04,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-01-11,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-01-18,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-01-25,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-02-01,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-02-08,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-02-15,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-02-22,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-01,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-08,Medium,2,0,Capacity
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-15,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-22,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-29,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-04-05,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-04-12,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-04-19,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-04-26,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-03,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-10,Medium,2,0,Inventory
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-17,Medium,2,0,Inventory
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-24,Low,1,0,
P2,37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-31,Medium,2,0,Capacity
