Aggregation_Level,Scenario,Plant_ID,Order_Date,Total_Scenario_Demand,Total_Net_Demand,Total_Allocated_Qty,Total_Backlog,Total_Scenario_Capacity,Remaining_Capacity,Capacity_Gap,Service_Level,Capacity_Utilization,Allocation_Rate,Service_Risk,Capacity_Risk,Performance_Status,Status_Reason,Baseline_Scenario,Service_Level_Change,Capacity_Utilization_Change,Backlog_Change,Allocation_Rate_Change
Scenario,Baseline,,,108395.0,1632.0,1632.0,0.0,162118.0,160486.0,160486.0,1.0,0.010066741509271025,0.015056045020526777,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.0,0.0,0.0
Scenario,Capacity_Disruption_P1_20pct,,,108395.0,1632.0,1632.0,0.0,149769.0,148137.0,148137.0,1.0,0.010896781042805921,0.015056045020526777,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.0008300395335348962,0.0,0.0
Scenario,Demand_Surge_10pct,,,119234.5,2008.6000000000004,2008.6000000000004,0.0,162118.0,160109.4,160109.4,1.0,0.012389740806079524,0.01684579547027077,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.002322999296808499,0.0,0.0017897504497439935
Scenario × Plant,Baseline,P1,,40120.0,262.0,262.0,0.0,61745.0,61483.0,61483.0,1.0,0.0042432585634464325,0.0065304087736789635,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Baseline,P2,,34843.0,1244.0,1244.0,0.0,51984.0,50740.0,50740.0,1.0,0.023930440135426286,0.03570301064776282,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Baseline,P3,,33432.0,126.0,126.0,0.0,48389.0,48263.0,48263.0,1.0,0.0026038975800285187,0.0037688442211055275,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_20pct,P1,,40120.0,262.0,262.0,0.0,49396.0,49134.0,49134.0,1.0,0.005304073204308041,0.0065304087736789635,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_20pct,P2,,34843.0,1244.0,1244.0,0.0,51984.0,50740.0,50740.0,1.0,0.023930440135426286,0.03570301064776282,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_20pct,P3,,33432.0,126.0,126.0,0.0,48389.0,48263.0,48263.0,1.0,0.0026038975800285187,0.0037688442211055275,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Demand_Surge_10pct,P1,,44132.00000000001,348.6,348.6,0.0,61745.0,61396.4,61396.4,1.0,0.005645801279455827,0.00789903018218073,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
