Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Beginning_Inventory,Weekly_Capacity,Baseline_Available_Capacity,ABC_Class,Planning_Priority,Planning_Key
P1,172,Nike Women's Tempo Shorts,2015-01-04,6,112.0,1165,598,C,1,P1|172|2015-01-04
P1,172,Nike Women's Tempo Shorts,2015-01-11,11,106.0,1165,196,C,1,P1|172|2015-01-11
P1,172,Nike Women's Tempo Shorts,2015-01-18,11,95.0,1165,177,C,1,P1|172|2015-01-18
P1,172,Nike Women's Tempo Shorts,2015-01-25,18,84.0,1165,156,C,1,P1|172|2015-01-25
P1,172,Nike Women's Tempo Shorts,2015-02-01,4,66.0,1165,202,C,1,P1|172|2015-02-01
P1,172,Nike Women's Tempo Shorts,2015-02-08,9,62.0,1165,249,C,1,P1|172|2015-02-08
P1,172,Nike Women's Tempo Shorts,2015-02-15,9,53.0,1165,239,C,1,P1|172|2015-02-15
P1,172,Nike Women's Tempo Shorts,2015-02-22,9,44.0,1165,183,C,1,P1|172|2015-02-22
P1,172,Nike Women's Tempo Shorts,2015-03-01,5,35.0,1165,181,C,1,P1|172|2015-03-01
P1,172,Nike Women's Tempo Shorts,2015-03-08,6,30.0,1165,161,C,1,P1|172|2015-03-08
P1,172,Nike Women's Tempo Shorts,2015-03-15,7,24.0,1165,121,C,1,P1|172|2015-03-15
P1,172,Nike Women's Tempo Shorts,2015-03-22,9,17.0,1165,256,C,1,P1|172|2015-03-22
P1,172,Nike Women's Tempo Shorts,2015-03-29,2,22.0,1165,304,C,1,P1|172|2015-03-29
P1,172,Nike Women's Tempo Shorts,2015-04-05,2,20.0,1165,143,C,1,P1|172|2015-04-05
P1,172,Nike Women's Tempo Shorts,2015-04-12,11,18.0,1165,237,C,1,P1|172|2015-04-12
P1,172,Nike Women's Tempo Shorts,2015-04-19,2,7.0,1165,131,C,1,P1|172|2015-04-19
P1,172,Nike Women's Tempo Shorts,2015-04-26,14,22.0,1165,218,C,1,P1|172|2015-04-26
P1,172,Nike Women's Tempo Shorts,2015-05-03,19,8.0,1165,196,C,1,P1|172|2015-05-03
P1,172,Nike Women's Tempo Shorts,2015-05-10,16,0.0,1165,192,C,1,P1|172|2015-05-10
P1,172,Nike Women's Tempo Shorts,2015-05-17,4,0.0,1165,137,C,1,P1|172|2015-05-17
P1,172,Nike Women's Tempo Shorts,2015-05-24,1,22.0,1165,152,C,1,P1|172|2015-05-24
P1,172,Nike Women's Tempo Shorts,2015-05-31,13,21.0,1165,167,C,1,P1|172|2015-05-31
P1,172,Nike Women's Tempo Shorts,2015-06-07,10,8.0,1165,131,C,1,P1|172|2015-06-07
P1,172,Nike Women's Tempo Shorts,2015-06-14,3,0.0,1165,228,C,1,P1|172|2015-06-14
P1,172,Nike Women's Tempo Shorts,2015-06-21,10,22.0,1165,119,C,1,P1|172|2015-06-21
P1,172,Nike Women's Tempo Shorts,2015-06-28,7,12.0,1165,198,C,1,P1|172|2015-06-28
P1,172,Nike Women's Tempo Shorts,2015-07-05,6,5.0,1165,139,C,1,P1|172|2015-07-05
P1,172,Nike Women's Tempo Shorts,2015-07-12,9,0.0,1165,257,C,1,P1|172|2015-07-12
P1,172,Nike Women's Tempo Shorts,2015-07-19,13,22.0,1165,115,C,1,P1|172|2015-07-19
P1,172,Nike Women's Tempo Shorts,2015-07-26,10,9.0,1165,299,C,1,P1|172|2015-07-26
P1,172,Nike Women's Tempo Shorts,2015-08-02,2,0.0,1165,225,C,1,P1|172|2015-08-02
P1,172,Nike Women's Tempo Shorts,2015-08-09,9,0.0,1165,174,C,1,P1|172|2015-08-09
P1,172,Nike Women's Tempo Shorts,2015-08-16,2,22.0,1165,142,C,1,P1|172|2015-08-16
P1,172,Nike Women's Tempo Shorts,2015-08-23,12,20.0,1165,200,C,1,P1|172|2015-08-23
P1,172,Nike Women's Tempo Shorts,2015-08-30,2,8.0,1165,141,C,1,P1|172|2015-08-30
P1,172,Nike Women's Tempo Shorts,2015-09-06,25,6.0,1165,148,C,1,P1|172|2015-09-06
P1,172,Nike Women's Tempo Shorts,2015-09-13,15,22.0,1165,127,C,1,P1|172|2015-09-13
