Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Beginning_Inventory,Weekly_Capacity,Baseline_Available_Capacity,ABC_Class,Planning_Priority,Planning_Key
P1,172,Nike Women's Tempo Shorts,2017-01-01,2,22.0,1165,263,C,1,P1|172|2017-01-01
P1,172,Nike Women's Tempo Shorts,2017-01-08,15,20.0,1165,150,C,1,P1|172|2017-01-08
P1,172,Nike Women's Tempo Shorts,2017-01-15,12,5.0,1165,223,C,1,P1|172|2017-01-15
P1,172,Nike Women's Tempo Shorts,2017-01-22,4,0.0,1165,96,C,1,P1|172|2017-01-22
P1,172,Nike Women's Tempo Shorts,2017-01-29,9,22.0,1165,225,C,1,P1|172|2017-01-29
P1,172,Nike Women's Tempo Shorts,2017-02-05,0,13.0,1165,169,C,1,P1|172|2017-02-05
P1,172,Nike Women's Tempo Shorts,2017-02-12,0,13.0,1165,250,C,1,P1|172|2017-02-12
P1,172,Nike Women's Tempo Shorts,2017-02-19,6,13.0,1165,166,C,1,P1|172|2017-02-19
P1,172,Nike Women's Tempo Shorts,2017-02-26,5,22.0,1165,14,C,1,P1|172|2017-02-26
P1,172,Nike Women's Tempo Shorts,2017-03-05,2,17.0,1165,215,C,1,P1|172|2017-03-05
P1,172,Nike Women's Tempo Shorts,2017-03-12,14,15.0,1165,212,C,1,P1|172|2017-03-12
P1,172,Nike Women's Tempo Shorts,2017-03-19,12,1.0,1165,122,C,1,P1|172|2017-03-19
P1,172,Nike Women's Tempo Shorts,2017-03-26,16,22.0,1165,235,C,1,P1|172|2017-03-26
P1,172,Nike Women's Tempo Shorts,2017-04-02,17,6.0,1165,253,C,1,P1|172|2017-04-02
P1,172,Nike Women's Tempo Shorts,2017-04-09,10,0.0,1165,224,C,1,P1|172|2017-04-09
P1,172,Nike Women's Tempo Shorts,2017-04-16,2,0.0,1165,237,C,1,P1|172|2017-04-16
P1,172,Nike Women's Tempo Shorts,2017-04-23,7,22.0,1165,108,C,1,P1|172|2017-04-23
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-01,227,1626.0,1165,263,A,3,P1|191|2017-01-01
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-08,296,1399.0,1165,150,A,3,P1|191|2017-01-08
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-15,241,1103.0,1165,223,A,3,P1|191|2017-01-15
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-22,301,862.0,1165,96,A,3,P1|191|2017-01-22
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-01-29,269,1626.0,1165,225,A,3,P1|191|2017-01-29
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-05,323,1357.0,1165,169,A,3,P1|191|2017-02-05
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-12,277,1034.0,1165,250,A,3,P1|191|2017-02-12
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-19,272,757.0,1165,166,A,3,P1|191|2017-02-19
