Aggregation_Level,Scenario,Plant_ID,Order_Date,Total_Scenario_Demand,Total_Net_Demand,Total_Allocated_Qty,Total_Backlog,Total_Scenario_Capacity,Remaining_Capacity,Capacity_Gap,Service_Level,Capacity_Utilization,Allocation_Rate,Service_Risk,Capacity_Risk,Performance_Status,Status_Reason,Baseline_Scenario,Service_Level_Change,Capacity_Utilization_Change,Backlog_Change,Allocation_Rate_Change
Scenario,Baseline,,,108395.0,1632.0,1632.0,0.0,162118.0,160486.0,160486.0,1.0,0.010066741509271025,0.015056045020526777,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.0,0.0,0.0
Scenario,Capacity_Disruption_P1_30pct,,,108395.0,1632.0,1632.0,0.0,143594.5,141962.5,141962.5,1.0,0.011365337808899366,0.015056045020526777,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.0012985962996283403,0.0,0.0
Scenario,Demand_Surge_10pct,,,119234.5,2008.6000000000004,2008.6000000000004,0.0,162118.0,160109.4,160109.4,1.0,0.012389740806079524,0.01684579547027077,Healthy,Healthy,Healthy,No backlog and utilization below 100%,Baseline,0.0,0.002322999296808499,0.0,0.0017897504497439935
Scenario × Plant,Baseline,P1,,40120.0,262.0,262.0,0.0,61745.0,61483.0,61483.0,1.0,0.0042432585634464325,0.0065304087736789635,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Baseline,P2,,34843.0,1244.0,1244.0,0.0,51984.0,50740.0,50740.0,1.0,0.023930440135426286,0.03570301064776282,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Baseline,P3,,33432.0,126.0,126.0,0.0,48389.0,48263.0,48263.0,1.0,0.0026038975800285187,0.0037688442211055275,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_30pct,P1,,40120.0,262.0,262.0,0.0,43221.5,42959.5,42959.5,1.0,0.006061797947780619,0.0065304087736789635,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_30pct,P2,,34843.0,1244.0,1244.0,0.0,51984.0,50740.0,50740.0,1.0,0.023930440135426286,0.03570301064776282,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Capacity_Disruption_P1_30pct,P3,,33432.0,126.0,126.0,0.0,48389.0,48263.0,48263.0,1.0,0.0026038975800285187,0.0037688442211055275,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Demand_Surge_10pct,P1,,44132.00000000001,348.6,348.6,0.0,61745.0,61396.4,61396.4,1.0,0.005645801279455827,0.00789903018218073,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Demand_Surge_10pct,P2,,38327.3,1460.1000000000004,1460.1000000000004,0.0,51984.0,50523.9,50523.9,1.0,0.02808748845798708,0.038095561127447025,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Plant,Demand_Surge_10pct,P3,,36775.200000000004,199.9000000000001,199.9000000000001,0.0,48389.0,48189.1,48189.1,1.0,0.004131104176569057,0.005435728425678177,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Week,Baseline,,2017-01-01,2602.0,35.0,35.0,0.0,3161.0,3126.0,3126.0,1.0,0.011072445428661816,0.013451191391237509,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Week,Baseline,,2017-01-08,2539.0,41.0,41.0,0.0,3161.0,3120.0,3120.0,1.0,0.012970578930718128,0.016148089799133517,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
Scenario × Week,Baseline,,2017-01-15,2636.0,70.0,70.0,0.0,3161.0,3091.0,3091.0,1.0,0.022144890857323633,0.026555386949924126,Healthy,Healthy,Healthy,No backlog and utilization below 100%,,,,,
