Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Initial_Inventory,Target_Coverage_Days,Average_Daily_Demand,Review_Cycle,Beginning_Inventory,Ending_Inventory,Replenishment_Qty,Target_Inventory,Safety_Stock_Days,Inventory_On_Hand,DOI,Inventory_Status,Reorder_Risk,ABC_Class,Inventory_Utilization,Inventory_Alert,Capacity_Status,Service_Risk,Service_Alert,Service_Risk_Score,Risk_Driver
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-04-30,2,48,21,0.4571428571428572,0,48.0,46.0,0,10,7,46.0,100.625,Normal,No,C,4.6,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-07,3,48,21,0.4571428571428572,0,46.0,43.0,0,10,7,43.0,94.0625,Normal,No,C,4.3,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-14,1,48,21,0.4571428571428572,0,43.0,42.0,0,10,7,42.0,91.875,Normal,No,C,4.2,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-21,3,48,21,0.4571428571428572,0,42.0,39.0,0,10,7,39.0,85.31249999999999,Normal,No,C,3.9,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-05-28,6,48,21,0.4571428571428572,1,39.0,33.0,0,10,7,33.0,72.1875,Normal,No,C,3.3,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-04,3,48,21,0.4571428571428572,1,33.0,30.0,0,10,7,30.0,65.625,Normal,No,C,3.0,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-11,2,48,21,0.4571428571428572,1,30.0,28.0,0,10,7,28.0,61.24999999999999,Normal,No,C,2.8,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-18,2,48,21,0.4571428571428572,1,28.0,26.0,0,10,7,26.0,56.87499999999999,Normal,No,C,2.6,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-06-25,2,48,21,0.4571428571428572,2,26.0,24.0,0,10,7,24.0,52.49999999999999,Normal,No,C,2.4,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-02,7,48,21,0.4571428571428572,2,24.0,17.0,0,10,7,17.0,37.1875,Normal,No,C,1.7,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-09,2,48,21,0.4571428571428572,2,17.0,15.0,0,10,7,15.0,32.8125,Normal,No,C,1.5,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-16,3,48,21,0.4571428571428572,2,15.0,12.0,0,10,7,12.0,26.25,Normal,No,C,1.2,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-23,4,48,21,0.4571428571428572,3,12.0,8.0,0,10,7,8.0,17.5,Warning,No,C,0.8,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-07-30,3,48,21,0.4571428571428572,3,8.0,5.0,0,10,7,5.0,10.937499999999998,Warning,No,C,0.5,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-06,2,48,21,0.4571428571428572,3,5.0,3.0,0,10,7,3.0,6.562499999999999,Critical,Yes,C,0.3,1,Normal,Medium,0,2,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-13,1,48,21,0.4571428571428572,3,3.0,2.0,8,10,7,2.0,4.375,Critical,Yes,C,0.2,1,Normal,Medium,0,2,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-20,6,48,21,0.4571428571428572,4,10.0,4.0,0,10,7,4.0,8.75,Warning,No,C,0.4,0,Normal,Low,0,1,None
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-08-27,4,48,21,0.4571428571428572,4,4.0,0.0,0,10,7,0.0,0.0,Critical,Yes,C,0.0,1,Normal,Medium,0,2,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-03,5,48,21,0.4571428571428572,4,0.0,0.0,0,10,7,0.0,0.0,Critical,Yes,C,0.0,1,Normal,Medium,0,2,Inventory
P2,19,Nike Men's Fingertrap Max Training Shoe,2017-09-10,3,48,21,0.4571428571428572,4,0.0,0.0,10,10,7,0.0,0.0,Critical,Yes,C,0.0,1,Normal,Medium,0,2,Inventory
P2,24,Elevation Training Mask 2.0,2017-04-23,4,165,21,1.5714285714285714,0,165.0,161.0,0,33,7,161.0,102.45454545454544,Normal,No,C,4.878787878787879,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-04-30,8,165,21,1.5714285714285714,0,161.0,153.0,0,33,7,153.0,97.36363636363636,Normal,No,C,4.636363636363637,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-05-07,22,165,21,1.5714285714285714,0,153.0,131.0,0,33,7,131.0,83.36363636363636,Normal,No,C,3.9696969696969697,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-05-14,6,165,21,1.5714285714285714,0,131.0,125.0,0,33,7,125.0,79.54545454545455,Normal,No,C,3.787878787878788,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-05-21,13,165,21,1.5714285714285714,1,125.0,112.0,0,33,7,112.0,71.27272727272728,Normal,No,C,3.393939393939394,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-05-28,16,165,21,1.5714285714285714,1,112.0,96.0,0,33,7,96.0,61.09090909090909,Normal,No,C,2.909090909090909,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-06-04,15,165,21,1.5714285714285714,1,96.0,81.0,0,33,7,81.0,51.54545454545455,Normal,No,C,2.4545454545454546,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-06-11,16,165,21,1.5714285714285714,1,81.0,65.0,0,33,7,65.0,41.36363636363637,Normal,No,C,1.9696969696969695,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-06-18,13,165,21,1.5714285714285714,2,65.0,52.0,0,33,7,52.0,33.09090909090909,Normal,No,C,1.5757575757575757,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-06-25,18,165,21,1.5714285714285714,2,52.0,34.0,0,33,7,34.0,21.63636363636364,Normal,No,C,1.0303030303030305,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-07-02,9,165,21,1.5714285714285714,2,34.0,25.0,0,33,7,25.0,15.90909090909091,Warning,No,C,0.7575757575757576,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-07-09,14,165,21,1.5714285714285714,2,25.0,11.0,22,33,7,11.0,7.0,Warning,No,C,0.3333333333333333,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-07-16,5,165,21,1.5714285714285714,3,33.0,28.0,0,33,7,28.0,17.81818181818182,Warning,No,C,0.8484848484848485,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-07-23,8,165,21,1.5714285714285714,3,28.0,20.0,0,33,7,20.0,12.727272727272728,Warning,No,C,0.6060606060606061,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-07-30,13,165,21,1.5714285714285714,3,20.0,7.0,0,33,7,7.0,4.454545454545455,Critical,Yes,C,0.2121212121212121,1,Normal,Medium,0,2,Inventory
P2,24,Elevation Training Mask 2.0,2017-08-06,7,165,21,1.5714285714285714,3,7.0,0.0,33,33,7,0.0,0.0,Critical,Yes,C,0.0,1,Normal,Medium,0,2,Inventory
P2,24,Elevation Training Mask 2.0,2017-08-13,14,165,21,1.5714285714285714,4,33.0,19.0,0,33,7,19.0,12.090909090909092,Warning,No,C,0.5757575757575758,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-08-20,7,165,21,1.5714285714285714,4,19.0,12.0,0,33,7,12.0,7.636363636363637,Warning,No,C,0.3636363636363636,0,Normal,Low,0,1,None
P2,24,Elevation Training Mask 2.0,2017-08-27,8,165,21,1.5714285714285714,4,12.0,4.0,0,33,7,4.0,2.5454545454545454,Critical,Yes,C,0.1212121212121212,1,Normal,Medium,0,2,Inventory
P2,24,Elevation Training Mask 2.0,2017-09-03,6,165,21,1.5714285714285714,4,4.0,0.0,33,33,7,0.0,0.0,Critical,Yes,C,0.0,1,Normal,Medium,0,2,Inventory
P2,24,Elevation Training Mask 2.0,2017-09-10,9,165,21,1.5714285714285714,5,33.0,24.0,0,33,7,24.0,15.272727272727272,Warning,No,C,0.7272727272727273,0,Normal,Low,0,1,None
P2,35,adidas Brazuca 2014 Official Match Ball,2017-04-30,5,46,21,0.4421768707482993,0,46.0,41.0,0,9,7,41.0,92.72307692307692,Normal,No,C,4.555555555555555,0,Normal,Low,0,1,None
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-07,4,46,21,0.4421768707482993,0,41.0,37.0,0,9,7,37.0,83.67692307692307,Normal,No,C,4.111111111111111,0,Normal,Low,0,1,None
P2,35,adidas Brazuca 2014 Official Match Ball,2017-05-14,2,46,21,0.4421768707482993,0,37.0,35.0,0,9,7,35.0,79.15384615384616,Normal,No,C,3.888888888888889,0,Normal,Low,0,1,None
