Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Demand_Rank,Demand_Last_Week,Demand_Change,Demand_Growth,Plant_Weekly_Demand,Demand_Contribution,Demand_Contribution_Pct,Cumulative_Contribution
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-04,306,1.0,,,,567,0.5396825396825397,53.97,0.5396825396825397
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-04,160,2.0,,,,567,0.2821869488536155,28.22,0.8218694885361552
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-04,77,3.0,,,,567,0.13580246913580246,13.58,0.9576719576719577
P1,276,Under Armour Women's Ignite Slide,2015-01-04,10,4.0,,,,567,0.01763668430335097,1.76,0.9753086419753085
P1,172,Nike Women's Tempo Shorts,2015-01-04,6,5.0,,,,567,0.010582010582010581,1.06,0.9858906525573192
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-04,4,6.0,,,,567,0.007054673721340388,0.71,0.9929453262786596
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-04,4,6.0,,,,567,0.007054673721340388,0.71,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-11,529,1.0,306.0,223.0,0.7287581699346405,969,0.5459236326109391,54.59,0.5459236326109391
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-11,243,2.0,160.0,83.0,0.51875,969,0.25077399380804954,25.08,0.7966976264189887
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-11,147,3.0,77.0,70.0,0.9090909090909091,969,0.15170278637770898,15.17,0.9484004127966976
P1,172,Nike Women's Tempo Shorts,2015-01-11,11,4.0,6.0,5.0,0.8333333333333334,969,0.011351909184726523,1.14,0.9597523219814241
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-11,9,5.0,,,,969,0.009287925696594427,0.93,0.9690402476780186
P1,276,Under Armour Women's Ignite Slide,2015-01-11,8,6.0,10.0,-2.0,-0.2,969,0.008255933952528379,0.83,0.977296181630547
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-11,7,7.0,,,,969,0.007223942208462332,0.72,0.9845201238390093
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-11,7,7.0,4.0,3.0,0.75,969,0.007223942208462332,0.72,0.9917440660474717
P1,273,Under Armour Kids' Mercenary Slide,2015-01-11,6,8.0,,,,969,0.006191950464396285,0.62,0.9979360165118679
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-11,2,9.0,4.0,-2.0,-0.5,969,0.0020639834881320948,0.21,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-18,560,1.0,529.0,31.0,0.05860113421550094,988,0.5668016194331984,56.68,0.5668016194331984
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-18,244,2.0,243.0,1.0,0.00411522633744856,988,0.24696356275303644,24.7,0.8137651821862348
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-18,140,3.0,147.0,-7.0,-0.047619047619047616,988,0.1417004048582996,14.17,0.9554655870445344
P1,172,Nike Women's Tempo Shorts,2015-01-18,11,4.0,11.0,0.0,0.0,988,0.011133603238866396,1.11,0.9665991902834008
P1,276,Under Armour Women's Ignite Slide,2015-01-18,9,5.0,8.0,1.0,0.125,988,0.009109311740890687,0.91,0.9757085020242915
